Source;Target;Type;Weight
457;410;Undirected;1
539;410;Undirected;1
263;410;Undirected;1
522;410;Undirected;1
241;410;Undirected;1
539;410;Undirected;1
539;410;Undirected;1
183;410;Undirected;1
268;170;Undirected;1
433;268;Undirected;1
433;170;Undirected;1
268;170;Undirected;1
598;268;Undirected;1
598;170;Undirected;1
268;170;Undirected;1
268;170;Undirected;1
268;170;Undirected;1
268;170;Undirected;1
268;365;Undirected;1
170;365;Undirected;1
268;170;Undirected;1
460;268;Undirected;1
460;170;Undirected;1
268;170;Undirected;1
268;170;Undirected;1
268;170;Undirected;1
268;91;Undirected;1
268;103;Undirected;1
268;479;Undirected;1
91;103;Undirected;1
91;479;Undirected;1
103;479;Undirected;1
268;170;Undirected;1
268;479;Undirected;1
170;479;Undirected;1
268;170;Undirected;1
268;48;Undirected;1
268;365;Undirected;1
170;48;Undirected;1
170;365;Undirected;1
48;365;Undirected;1
268;170;Undirected;1
268;48;Undirected;1
268;365;Undirected;1
170;48;Undirected;1
170;365;Undirected;1
48;365;Undirected;1
268;170;Undirected;1
268;170;Undirected;1
268;170;Undirected;1
268;170;Undirected;1
268;170;Undirected;1
268;170;Undirected;1
268;170;Undirected;1
268;170;Undirected;1
175;586;Undirected;1
274;482;Undirected;1
274;175;Undirected;1
274;641;Undirected;1
274;173;Undirected;1
482;175;Undirected;1
482;641;Undirected;1
482;173;Undirected;1
175;641;Undirected;1
175;173;Undirected;1
641;173;Undirected;1
274;482;Undirected;1
274;175;Undirected;1
274;586;Undirected;1
482;175;Undirected;1
482;586;Undirected;1
175;586;Undirected;1
54;175;Undirected;1
54;586;Undirected;1
175;586;Undirected;1
482;175;Undirected;1
482;693;Undirected;1
175;693;Undirected;1
223;268;Undirected;1
223;268;Undirected;1
223;268;Undirected;1
223;268;Undirected;1
223;365;Undirected;1
268;365;Undirected;1
223;268;Undirected;1
223;268;Undirected;1
223;268;Undirected;1
223;268;Undirected;1
223;479;Undirected;1
268;479;Undirected;1
223;268;Undirected;1
223;479;Undirected;1
268;479;Undirected;1
223;268;Undirected;1
223;268;Undirected;1
223;365;Undirected;1
268;365;Undirected;1
223;268;Undirected;1
223;179;Undirected;1
268;179;Undirected;1
223;268;Undirected;1
223;268;Undirected;1
223;179;Undirected;1
268;179;Undirected;1
223;268;Undirected;1
268;479;Undirected;1
268;365;Undirected;1
479;365;Undirected;1
268;266;Undirected;1
268;479;Undirected;1
266;479;Undirected;1
268;693;Undirected;1
268;559;Undirected;1
534;651;Undirected;1
534;268;Undirected;1
651;268;Undirected;1
268;559;Undirected;1
268;479;Undirected;1
559;479;Undirected;1
268;226;Undirected;1
268;415;Undirected;1
226;415;Undirected;1
540;268;Undirected;1
268;300;Undirected;1
268;300;Undirected;1
268;693;Undirected;1
268;365;Undirected;1
693;365;Undirected;1
268;559;Undirected;1
268;48;Undirected;1
559;48;Undirected;1
268;48;Undirected;1
268;415;Undirected;1
48;415;Undirected;1
268;273;Undirected;1
268;415;Undirected;1
268;479;Undirected;1
268;365;Undirected;1
273;415;Undirected;1
273;479;Undirected;1
273;365;Undirected;1
415;479;Undirected;1
415;365;Undirected;1
479;365;Undirected;1
268;273;Undirected;1
268;415;Undirected;1
268;479;Undirected;1
268;365;Undirected;1
273;415;Undirected;1
273;479;Undirected;1
273;365;Undirected;1
415;479;Undirected;1
415;365;Undirected;1
479;365;Undirected;1
268;213;Undirected;1
634;268;Undirected;1
268;482;Undirected;1
268;212;Undirected;1
268;693;Undirected;1
212;693;Undirected;1
268;722;Undirected;1
268;213;Undirected;1
572;48;Undirected;1
572;479;Undirected;1
48;479;Undirected;1
572;270;Undirected;1
572;415;Undirected;1
572;365;Undirected;1
270;415;Undirected;1
270;365;Undirected;1
415;365;Undirected;1
562;406;Undirected;1
562;572;Undirected;1
562;302;Undirected;1
406;572;Undirected;1
406;302;Undirected;1
572;302;Undirected;1
562;572;Undirected;1
562;270;Undirected;1
562;179;Undirected;1
562;479;Undirected;1
572;270;Undirected;1
572;179;Undirected;1
572;479;Undirected;1
270;179;Undirected;1
270;479;Undirected;1
179;479;Undirected;1
562;406;Undirected;1
562;572;Undirected;1
406;572;Undirected;1
406;572;Undirected;1
406;15;Undirected;1
572;15;Undirected;1
572;270;Undirected;1
572;179;Undirected;1
572;479;Undirected;1
572;365;Undirected;1
270;179;Undirected;1
270;479;Undirected;1
270;365;Undirected;1
179;479;Undirected;1
179;365;Undirected;1
479;365;Undirected;1
572;15;Undirected;1
572;130;Undirected;1
15;130;Undirected;1
572;270;Undirected;1
572;48;Undirected;1
572;365;Undirected;1
270;48;Undirected;1
270;365;Undirected;1
48;365;Undirected;1
572;566;Undirected;1
572;270;Undirected;1
572;365;Undirected;1
566;270;Undirected;1
566;365;Undirected;1
270;365;Undirected;1
572;307;Undirected;1
572;175;Undirected;1
572;330;Undirected;1
572;371;Undirected;1
572;291;Undirected;1
307;175;Undirected;1
307;330;Undirected;1
307;371;Undirected;1
307;291;Undirected;1
175;330;Undirected;1
175;371;Undirected;1
175;291;Undirected;1
330;371;Undirected;1
330;291;Undirected;1
371;291;Undirected;1
572;307;Undirected;1
572;175;Undirected;1
572;330;Undirected;1
572;371;Undirected;1
572;291;Undirected;1
